text	label	proposed_label	confidence	final_label
Trailer Serije :	1			
Ocjena : 8 / 10	1			
Sve to vrijeme Assane ostaje odluèan u sužavanju potrage i saznavanju istine .	2	1	0.2669479905787889	1
Ipak , èak i uz prilièno takve zvuène efekte , film je i dalje bio vrlo ugodan tijekom tih scena .	2			
Richard the Stork	1			
I konaèno Fernando Sucre ( Amaury Nolasco – Transformatori , Telenovela TV serije itd .	1			
A onda ima ovakvih , kao što su ‘ Nindža kornjaèe ” modernog doba .	1			
Šta ako postoje alternativne verzije vlastitog svijeta ?	1			
Lièno mislim da nije toliko loš , da je gledljiv i ima dobrih sekvenci , ali bit æe vam još veæi doživljaj ako ste jedanaestogodišnje dijete i uživate u svemirskim avanturama i zanimaju vas svemir i galaksije .	2			
( TV SERIES ) Trust ( Seasons 1 ) 2018 Recenzija Serije	1			
Užas i amaterizam kakav se dugo nije vidio u svijetu filma .	0			
Ovaj film šalje jasnu poruku o svom prihvaæanju razlièitih kultura , religija i naroda.Richardova upoznavanja s razlièitim , ali uvijek sebi sliènim likovima je uistinu ono sto æe se svidjeti publici kako mlaðoj tako i starijoj .	2	1	0.15733346906054083	2
Kroz ovu perspektivu s tri lika možemo “ nauèiti ” o povijesti i prošlosti Rima .	2	1	0.2597159597694667	1
Žanr : Drama | Sport | Recenzija Serija | Netflix Serija	1			
Irska je prokleto dobra u ulozi .	2	1	0.1599200615836309	2
Još jedan film Transformers ?	1			
Nakon smrti , on æe prenijeti svoje bogatstvo prvoj osobi koja naðe “ uskrsno jaje ” , skriveno negdje unutar OASIS-a .	1			
Za seriju koja je imala samo 8 epizoda , nije mi trebalo predugo da je dovršim .	1			
koji su sada bili èelnici korporacije bili su iznenaðeni kada je Danny došao u njihov ured .	1			
Na enormno visok budžet od 170 miliona dolara , film je skupio tek nešto više od 105 miliona , ali male , jako male su šanse da æe uopšte i premašiti budžet .	0	1	0.17231138711418933	1
Bile su i jedna ili dvije scene zastrašivanja skoka koji su svoj posao uradili adekvatno .	2			
Prijetnje ” s onoga svijeta ” koja prijeti da uništi èitav svijet i to sve kada se pojavi njegov pravi otac .	0	1	0.19683427074306376	1
Je li bilo dobro ?	1			
Naziv : City on a Hill TV Series ( 2019 – ) Sezona1	1			
Polovica sadržaja u ovom film ne radi ništa , a èini se da je tamo samo kako bi popunio da traje dovoljno dugo , a druga polovica mogla je biti emocionalno rezonantna , ali je puna isto glupog humora .	0	1	0.11917623459013499	0
Redatelj : Ryan Coogler	1			
U bolnici David je kraj sebe imao imao još jednog pacijenta pod imenom Lenny ( Aubrey Plaza – Dirty Grandpa , Mike and Dave Need Wedding Dates etc ) gdje mu se èinilo da mu daje puno savjeta .	1	2	0.2508819128170359	1
Ali dopadao mi se Will Patton za koga sam mislio da je savršen kao i ovaj sjenoviti poslovni èovjek malog grada .	2	1	0.2349602159714186	2
Eto , može li jednostavnije ?	1			
